"InterestRate.:BASECURVE.OIS_USD,20Y"
"InterestRate.:BASECURVE.OIS_USD,25Y"
"InterestRate.:BASECURVE.OIS_USD,2M"
"InterestRate.:BASECURVE.OIS_USD,2Y"
"InterestRate.:BASECURVE.OIS_USD,30Y"
"InterestRate.:BASECURVE.OIS_USD,3M"
"InterestRate.:BASECURVE.OIS_USD,3Y"
"InterestRate.:BASECURVE.OIS_USD,40Y"
"InterestRate.:BASECURVE.OIS_USD,50Y"
"InterestRate.:BASECURVE.OIS_USD,5Y"
"InterestRate.:BASECURVE.OIS_USD,6M"
"InterestRate.:BASECURVE.OIS_USD,7Y"
"InterestRate.:BASECURVE.OIS_USD,9M"
"InterestRate.:BASECURVE.REP_EUR,10Y"
"InterestRate.:BASECURVE.REP_EUR,12M"
"InterestRate.:BASECURVE.REP_EUR,12Y"
"InterestRate.:BASECURVE.REP_EUR,15Y"
"InterestRate.:BASECURVE.REP_EUR,1M"
"InterestRate.:BASECURVE.REP_EUR,1W"
"InterestRate.:BASECURVE.REP_EUR,20Y"
"InterestRate.:BASECURVE.REP_EUR,25Y"
"InterestRate.:BASECURVE.REP_EUR,2M"
"InterestRate.:BASECURVE.REP_EUR,2Y"
"InterestRate.:BASECURVE.REP_EUR,30Y"
"InterestRate.:BASECURVE.REP_EUR,3M"
"InterestRate.:BASECURVE.REP_EUR,3Y"
"InterestRate.:BASECURVE.REP_EUR,40Y"
"InterestRate.:BASECURVE.REP_EUR,50Y"
"InterestRate.:BASECURVE.REP_EUR,5Y"
"InterestRate.:BASECURVE.REP_EUR,6M"
"InterestRate.:BASECURVE.REP_EUR,7Y"
"InterestRate.:BASECURVE.REP_EUR,9M"
"InterestRate.:BASECURVE.REP_JPY,10Y"
"InterestRate.:BASECURVE.REP_JPY,12M"
"InterestRate.:BASECURVE.REP_JPY,12Y"
"InterestRate.:BASECURVE.REP_JPY,15Y"
"InterestRate.:BASECURVE.REP_JPY,1M"
"InterestRate.:BASECURVE.REP_JPY,1W"
"InterestRate.:BASECURVE.REP_JPY,20Y"
"InterestRate.:BASECURVE.REP_JPY,25Y"
"InterestRate.:BASECURVE.REP_JPY,2M"
"InterestRate.:BASECURVE.REP_JPY,2Y"
"InterestRate.:BASECURVE.REP_JPY,30Y"
"InterestRate.:BASECURVE.REP_JPY,3M"
"InterestRate.:BASECURVE.REP_JPY,3Y"
"InterestRate.:BASECURVE.REP_JPY,40Y"
"InterestRate.:BASECURVE.REP_JPY,50Y"
"InterestRate.:BASECURVE.REP_JPY,5Y"
"InterestRate.:BASECURVE.REP_JPY,6M"
"InterestRate.:BASECURVE.REP_JPY,7Y"
"InterestRate.:BASECURVE.REP_JPY,9M"
"InterestRate.:BASECURVE.REP_USD,10Y"
"InterestRate.:BASECURVE.REP_USD,12M"
"InterestRate.:BASECURVE.REP_USD,12Y"
"InterestRate.:BASECURVE.REP_USD,15Y"
"InterestRate.:BASECURVE.REP_USD,1M"
"InterestRate.:BASECURVE.REP_USD,1W"
"InterestRate.:BASECURVE.REP_USD,20Y"
"InterestRate.:BASECURVE.REP_USD,25Y"
"InterestRate.:BASECURVE.REP_USD,2M"
"InterestRate.:BASECURVE.REP_USD,2Y"
"InterestRate.:BASECURVE.REP_USD,30Y"
"InterestRate.:BASECURVE.REP_USD,3M"
"InterestRate.:BASECURVE.REP_USD,3Y"
"InterestRate.:BASECURVE.REP_USD,40Y"
"InterestRate.:BASECURVE.REP_USD,50Y"
"InterestRate.:BASECURVE.REP_USD,5Y"
"InterestRate.:BASECURVE.REP_USD,6M"
"InterestRate.:BASECURVE.REP_USD,7Y"
"InterestRate.:BASECURVE.REP_USD,9M"
"InterestRate.:BASECURVE_P.GOV_AT,0Y"
"InterestRate.:BASECURVE_P.GOV_AU,0Y"
"InterestRate.:BASECURVE_P.GOV_BE,0Y"
"InterestRate.:BASECURVE_P.GOV_CA,0Y"
"InterestRate.:BASECURVE_P.GOV_DE,0Y"
"InterestRate.:BASECURVE_P.GOV_ES,0Y"
"InterestRate.:BASECURVE_P.GOV_FI,0Y"
"InterestRate.:BASECURVE_P.GOV_FR,0Y"
"InterestRate.:BASECURVE_P.GOV_GB,0Y"
"InterestRate.:BASECURVE_P.GOV_IE,0Y"
"InterestRate.:BASECURVE_P.GOV_IT,0Y"
"InterestRate.:BASECURVE_P.GOV_JP,0Y"
"InterestRate.:BASECURVE_P.GOV_NL,0Y"
"InterestRate.:BASECURVE_P.GOV_NZ,0Y"
"InterestRate.:BASECURVE_P.GOV_SE,0Y"
"InterestRate.:BASECURVE_P.GOV_US,0Y"
"InterestRate.:BASECURVE_P.IBR_AUD,0Y"
"InterestRate.:BASECURVE_P.IBR_BRL,0Y"
"InterestRate.:BASECURVE_P.IBR_CAD,0Y"
"InterestRate.:BASECURVE_P.IBR_CHF,0Y"
"InterestRate.:BASECURVE_P.IBR_CNY,0Y"
"InterestRate.:BASECURVE_P.IBR_DKK,0Y"
"InterestRate.:BASECURVE_P.IBR_EUR,0Y"
"InterestRate.:BASECURVE_P.IBR_GBP,0Y"
"InterestRate.:BASECURVE_P.IBR_HKD,0Y"
"InterestRate.:BASECURVE_P.IBR_IDR,0Y"
"InterestRate.:BASECURVE_P.IBR_INR,0Y"
"InterestRate.:BASECURVE_P.IBR_JPY,0Y"
"InterestRate.:BASECURVE_P.IBR_MXN,0Y"
"InterestRate.:BASECURVE_P.IBR_MYR,0Y"
"InterestRate.:BASECURVE_P.IBR_NOK,0Y"
"InterestRate.:BASECURVE_P.IBR_NZD,0Y"
"InterestRate.:BASECURVE_P.IBR_RUB,0Y"
"InterestRate.:BASECURVE_P.IBR_SEK,0Y"
"InterestRate.:BASECURVE_P.IBR_SGD,0Y"
"InterestRate.:BASECURVE_P.IBR_THB,0Y"
"InterestRate.:BASECURVE_P.IBR_TRY,0Y"
"InterestRate.:BASECURVE_P.IBR_TWD,0Y"
"InterestRate.:BASECURVE_P.IBR_USD,0Y"
"InterestRate.:BASECURVE_P.IBR_ZAR,0Y"
"InterestRate.:BASECURVE_P.ISW_US,0Y"
"InterestRate.:BASECURVE_P.MUN_US,0Y"
"InterestRate.:BASECURVE_P.OIS_EUR,0Y"
"InterestRate.:BASECURVE_P.OIS_GBP,0Y"
"InterestRate.:BASECURVE_P.OIS_JPY,0Y"
"InterestRate.:BASECURVE_P.OIS_USD,0Y"
"InterestRate.:BASECURVE_P.REP_EUR,0Y"
"InterestRate.:BASECURVE_P.REP_JPY,0Y"
"InterestRate.:BASECURVE_P.REP_USD,0Y"
"InterestRate.:BASECURVE_P.SWP_AUD,0Y"
"InterestRate.:BASECURVE_P.SWP_CAD,0Y"
"InterestRate.:BASECURVE_P.SWP_CHF,0Y"
"InterestRate.:BASECURVE_P.SWP_CNY,0Y"
"InterestRate.:BASECURVE_P.SWP_DKK,0Y"
"InterestRate.:BASECURVE_P.SWP_EUR,0Y"
"InterestRate.:BASECURVE_P.SWP_GBP,0Y"
"InterestRate.:BASECURVE_P.SWP_HKD,0Y"
"InterestRate.:BASECURVE_P.SWP_IDR,0Y"
"InterestRate.:BASECURVE_P.SWP_INR,0Y"
"InterestRate.:BASECURVE_P.SWP_JPY,0Y"
"InterestRate.:BASECURVE_P.SWP_MXN,0Y"
"InterestRate.:BASECURVE_P.SWP_MYR,0Y"
"InterestRate.:BASECURVE_P.SWP_NOK,0Y"
"InterestRate.:BASECURVE_P.SWP_NZD,0Y"
"InterestRate.:BASECURVE_P.SWP_RUB,0Y"
"InterestRate.:BASECURVE_P.SWP_SEK,0Y"
"InterestRate.:BASECURVE_P.SWP_SGD,0Y"
"InterestRate.:BASECURVE_P.SWP_THB,0Y"
"InterestRate.:BASECURVE_P.SWP_TRY,0Y"
"InterestRate.:BASECURVE_P.SWP_TWD,0Y"
"InterestRate.:BASECURVE_P.SWP_USD,0Y"
"InterestRate.:BASECURVE_P.SWP_ZAR,0Y"
"InterestRate.:BASISCURVE.CCY_AUD,10Y"
"InterestRate.:BASISCURVE.CCY_AUD,12M"
"InterestRate.:BASISCURVE.CCY_AUD,12Y"
"InterestRate.:BASISCURVE.CCY_AUD,15Y"
"InterestRate.:BASISCURVE.CCY_AUD,1M"
"InterestRate.:BASISCURVE.CCY_AUD,1W"
"InterestRate.:BASISCURVE.CCY_AUD,20Y"
"InterestRate.:BASISCURVE.CCY_AUD,25Y"
"InterestRate.:BASISCURVE.CCY_AUD,2M"
"InterestRate.:BASISCURVE.CCY_AUD,2Y"
"InterestRate.:BASISCURVE.CCY_AUD,30Y"
"InterestRate.:BASISCURVE.CCY_AUD,3M"
"InterestRate.:BASISCURVE.CCY_AUD,3Y"
"InterestRate.:BASISCURVE.CCY_AUD,40Y"
"InterestRate.:BASISCURVE.CCY_AUD,50Y"
"InterestRate.:BASISCURVE.CCY_AUD,5Y"
"InterestRate.:BASISCURVE.CCY_AUD,6M"
"InterestRate.:BASISCURVE.CCY_AUD,7Y"
"InterestRate.:BASISCURVE.CCY_AUD,9M"
"InterestRate.:BASISCURVE.CCY_CAD,10Y"
"InterestRate.:BASISCURVE.CCY_CAD,12M"
"InterestRate.:BASISCURVE.CCY_CAD,12Y"
"InterestRate.:BASISCURVE.CCY_CAD,15Y"
"InterestRate.:BASISCURVE.CCY_CAD,1M"
"InterestRate.:BASISCURVE.CCY_CAD,1W"
"InterestRate.:BASISCURVE.CCY_CAD,20Y"
"InterestRate.:BASISCURVE.CCY_CAD,25Y"
"InterestRate.:BASISCURVE.CCY_CAD,2M"
"InterestRate.:BASISCURVE.CCY_CAD,2Y"
"InterestRate.:BASISCURVE.CCY_CAD,30Y"
"InterestRate.:BASISCURVE.CCY_CAD,3M"
"InterestRate.:BASISCURVE.CCY_CAD,3Y"
"InterestRate.:BASISCURVE.CCY_CAD,40Y"
"InterestRate.:BASISCURVE.CCY_CAD,50Y"
"InterestRate.:BASISCURVE.CCY_CAD,5Y"
"InterestRate.:BASISCURVE.CCY_CAD,6M"
"InterestRate.:BASISCURVE.CCY_CAD,7Y"
"InterestRate.:BASISCURVE.CCY_CAD,9M"
"InterestRate.:BASISCURVE.CCY_EUR,10Y"
"InterestRate.:BASISCURVE.CCY_EUR,12M"
"InterestRate.:BASISCURVE.CCY_EUR,12Y"
"InterestRate.:BASISCURVE.CCY_EUR,15Y"
"InterestRate.:BASISCURVE.CCY_EUR,1M"
"InterestRate.:BASISCURVE.CCY_EUR,1W"
"InterestRate.:BASISCURVE.CCY_EUR,20Y"
"InterestRate.:BASISCURVE.CCY_EUR,25Y"
"InterestRate.:BASISCURVE.CCY_EUR,2M"
"InterestRate.:BASISCURVE.CCY_EUR,2Y"
"InterestRate.:BASISCURVE.CCY_EUR,30Y"
"InterestRate.:BASISCURVE.CCY_EUR,3M"
"InterestRate.:BASISCURVE.CCY_EUR,3Y"
"InterestRate.:BASISCURVE.CCY_EUR,40Y"
"InterestRate.:BASISCURVE.CCY_EUR,50Y"
"InterestRate.:BASISCURVE.CCY_EUR,5Y"
"InterestRate.:BASISCURVE.CCY_EUR,6M"
"InterestRate.:BASISCURVE.CCY_EUR,7Y"
"InterestRate.:BASISCURVE.CCY_EUR,9M"
"InterestRate.:BASISCURVE.CCY_GBP,10Y"
"InterestRate.:BASISCURVE.CCY_GBP,12M"
"InterestRate.:BASISCURVE.CCY_GBP,12Y"
"InterestRate.:BASISCURVE.CCY_GBP,15Y"
"InterestRate.:BASISCURVE.CCY_GBP,1M"
"InterestRate.:BASISCURVE.CCY_GBP,1W"
"InterestRate.:BASISCURVE.CCY_GBP,20Y"
"InterestRate.:BASISCURVE.CCY_GBP,25Y"
"InterestRate.:BASISCURVE.CCY_GBP,2M"
"InterestRate.:BASISCURVE.CCY_GBP,2Y"
"InterestRate.:BASISCURVE.CCY_GBP,30Y"
"InterestRate.:BASISCURVE.CCY_GBP,3M"
"InterestRate.:BASISCURVE.CCY_GBP,3Y"
"InterestRate.:BASISCURVE.CCY_GBP,40Y"
"InterestRate.:BASISCURVE.CCY_GBP,50Y"
"InterestRate.:BASISCURVE.CCY_GBP,5Y"
"InterestRate.:BASISCURVE.CCY_GBP,6M"
"InterestRate.:BASISCURVE.CCY_GBP,7Y"
"InterestRate.:BASISCURVE.CCY_GBP,9M"
"InterestRate.:BASISCURVE.CCY_JPY,10Y"
"InterestRate.:BASISCURVE.CCY_JPY,12M"
"InterestRate.:BASISCURVE.CCY_JPY,12Y"
"InterestRate.:BASISCURVE.CCY_JPY,15Y"
"InterestRate.:BASISCURVE.CCY_JPY,1M"
"InterestRate.:BASISCURVE.CCY_JPY,1W"
"InterestRate.:BASISCURVE.CCY_JPY,20Y"
"InterestRate.:BASISCURVE.CCY_JPY,25Y"
"InterestRate.:BASISCURVE.CCY_JPY,2M"
"InterestRate.:BASISCURVE.CCY_JPY,2Y"
"InterestRate.:BASISCURVE.CCY_JPY,30Y"
"InterestRate.:BASISCURVE.CCY_JPY,3M"
"InterestRate.:BASISCURVE.CCY_JPY,3Y"
"InterestRate.:BASISCURVE.CCY_JPY,40Y"
"InterestRate.:BASISCURVE.CCY_JPY,50Y"
"InterestRate.:BASISCURVE.CCY_JPY,5Y"
"InterestRate.:BASISCURVE.CCY_JPY,6M"
"InterestRate.:BASISCURVE.CCY_JPY,7Y"
"InterestRate.:BASISCURVE.CCY_JPY,9M"
"InterestRate.:BASISCURVE.CCY_NZD,10Y"
"InterestRate.:BASISCURVE.CCY_NZD,12M"
"InterestRate.:BASISCURVE.CCY_NZD,12Y"
"InterestRate.:BASISCURVE.CCY_NZD,15Y"
"InterestRate.:BASISCURVE.CCY_NZD,1M"
"InterestRate.:BASISCURVE.CCY_NZD,1W"
"InterestRate.:BASISCURVE.CCY_NZD,20Y"
"InterestRate.:BASISCURVE.CCY_NZD,25Y"
"InterestRate.:BASISCURVE.CCY_NZD,2M"
"InterestRate.:BASISCURVE.CCY_NZD,2Y"
"InterestRate.:BASISCURVE.CCY_NZD,30Y"
"InterestRate.:BASISCURVE.CCY_NZD,3M"
"InterestRate.:BASISCURVE.CCY_NZD,3Y"
"InterestRate.:BASISCURVE.CCY_NZD,40Y"
"InterestRate.:BASISCURVE.CCY_NZD,50Y"
"InterestRate.:BASISCURVE.CCY_NZD,5Y"
"InterestRate.:BASISCURVE.CCY_NZD,6M"
"InterestRate.:BASISCURVE.CCY_NZD,7Y"
"InterestRate.:BASISCURVE.CCY_NZD,9M"
"InterestRate.:BASISCURVE.CCY_SGD,10Y"
"InterestRate.:BASISCURVE.CCY_SGD,12M"
"InterestRate.:BASISCURVE.CCY_SGD,12Y"
"InterestRate.:BASISCURVE.CCY_SGD,15Y"
"InterestRate.:BASISCURVE.CCY_SGD,1M"
"InterestRate.:BASISCURVE.CCY_SGD,1W"
"InterestRate.:BASISCURVE.CCY_SGD,20Y"
"InterestRate.:BASISCURVE.CCY_SGD,25Y"
"InterestRate.:BASISCURVE.CCY_SGD,2M"
"InterestRate.:BASISCURVE.CCY_SGD,2Y"
"InterestRate.:BASISCURVE.CCY_SGD,30Y"
"InterestRate.:BASISCURVE.CCY_SGD,3M"
"InterestRate.:BASISCURVE.CCY_SGD,3Y"
"InterestRate.:BASISCURVE.CCY_SGD,40Y"
"InterestRate.:BASISCURVE.CCY_SGD,50Y"
"InterestRate.:BASISCURVE.CCY_SGD,5Y"
"InterestRate.:BASISCURVE.CCY_SGD,6M"
"InterestRate.:BASISCURVE.CCY_SGD,7Y"
"InterestRate.:BASISCURVE.CCY_SGD,9M"
"InterestRate.:BASISCURVE.CCY_ZAR,10Y"
"InterestRate.:BASISCURVE.CCY_ZAR,12M"
"InterestRate.:BASISCURVE.CCY_ZAR,12Y"
"InterestRate.:BASISCURVE.CCY_ZAR,15Y"
"InterestRate.:BASISCURVE.CCY_ZAR,1M"
"InterestRate.:BASISCURVE.CCY_ZAR,1W"
"InterestRate.:BASISCURVE.CCY_ZAR,20Y"
"InterestRate.:BASISCURVE.CCY_ZAR,25Y"
"InterestRate.:BASISCURVE.CCY_ZAR,2M"
"InterestRate.:BASISCURVE.CCY_ZAR,2Y"
"InterestRate.:BASISCURVE.CCY_ZAR,30Y"
"InterestRate.:BASISCURVE.CCY_ZAR,3M"
"InterestRate.:BASISCURVE.CCY_ZAR,3Y"
"InterestRate.:BASISCURVE.CCY_ZAR,40Y"
"InterestRate.:BASISCURVE.CCY_ZAR,50Y"
"InterestRate.:BASISCURVE.CCY_ZAR,5Y"
"InterestRate.:BASISCURVE.CCY_ZAR,6M"
"InterestRate.:BASISCURVE.CCY_ZAR,7Y"
"InterestRate.:BASISCURVE.CCY_ZAR,9M"
"InterestRate.:BASISCURVE.EUR_AT,10Y"
"InterestRate.:BASISCURVE.EUR_AT,12M"
"InterestRate.:BASISCURVE.EUR_AT,12Y"
"InterestRate.:BASISCURVE.EUR_AT,15Y"
"InterestRate.:BASISCURVE.EUR_AT,1M"
"InterestRate.:BASISCURVE.EUR_AT,1W"
"InterestRate.:BASISCURVE.EUR_AT,20Y"
"InterestRate.:BASISCURVE.EUR_AT,25Y"
"InterestRate.:BASISCURVE.EUR_AT,2M"
"InterestRate.:BASISCURVE.EUR_AT,2Y"
"InterestRate.:BASISCURVE.EUR_AT,30Y"
"InterestRate.:BASISCURVE.EUR_AT,3M"
"InterestRate.:BASISCURVE.EUR_AT,3Y"
"InterestRate.:BASISCURVE.EUR_AT,40Y"
"InterestRate.:BASISCURVE.EUR_AT,50Y"
"InterestRate.:BASISCURVE.EUR_AT,5Y"
"InterestRate.:BASISCURVE.EUR_AT,6M"
"InterestRate.:BASISCURVE.EUR_AT,7Y"
"InterestRate.:BASISCURVE.EUR_AT,9M"
"InterestRate.:BASISCURVE.EUR_BE,10Y"
"InterestRate.:BASISCURVE.EUR_BE,12M"
"InterestRate.:BASISCURVE.EUR_BE,12Y"
"InterestRate.:BASISCURVE.EUR_BE,15Y"
"InterestRate.:BASISCURVE.EUR_BE,1M"
"InterestRate.:BASISCURVE.EUR_BE,1W"
"InterestRate.:BASISCURVE.EUR_BE,20Y"
"InterestRate.:BASISCURVE.EUR_BE,25Y"
"InterestRate.:BASISCURVE.EUR_BE,2M"
"InterestRate.:BASISCURVE.EUR_BE,2Y"
"InterestRate.:BASISCURVE.EUR_BE,30Y"
"InterestRate.:BASISCURVE.EUR_BE,3M"
"InterestRate.:BASISCURVE.EUR_BE,3Y"
"InterestRate.:BASISCURVE.EUR_BE,40Y"
"InterestRate.:BASISCURVE.EUR_BE,50Y"
"InterestRate.:BASISCURVE.EUR_BE,5Y"
"InterestRate.:BASISCURVE.EUR_BE,6M"
"InterestRate.:BASISCURVE.EUR_BE,7Y"
"InterestRate.:BASISCURVE.EUR_BE,9M"
"InterestRate.:BASISCURVE.EUR_ES,10Y"
"InterestRate.:BASISCURVE.EUR_ES,12M"
"InterestRate.:BASISCURVE.EUR_ES,12Y"
"InterestRate.:BASISCURVE.EUR_ES,15Y"
"InterestRate.:BASISCURVE.EUR_ES,1M"
"InterestRate.:BASISCURVE.EUR_ES,1W"
"InterestRate.:BASISCURVE.EUR_ES,20Y"
"InterestRate.:BASISCURVE.EUR_ES,25Y"
"InterestRate.:BASISCURVE.EUR_ES,2M"
"InterestRate.:BASISCURVE.EUR_ES,2Y"
"InterestRate.:BASISCURVE.EUR_ES,30Y"
"InterestRate.:BASISCURVE.EUR_ES,3M"
"InterestRate.:BASISCURVE.EUR_ES,3Y"
"InterestRate.:BASISCURVE.EUR_ES,40Y"
"InterestRate.:BASISCURVE.EUR_ES,50Y"
"InterestRate.:BASISCURVE.EUR_ES,5Y"
"InterestRate.:BASISCURVE.EUR_ES,6M"
"InterestRate.:BASISCURVE.EUR_ES,7Y"
"InterestRate.:BASISCURVE.EUR_ES,9M"
"InterestRate.:BASISCURVE.EUR_FI,10Y"
"InterestRate.:BASISCURVE.EUR_FI,12M"
"InterestRate.:BASISCURVE.EUR_FI,12Y"
"InterestRate.:BASISCURVE.EUR_FI,15Y"
"InterestRate.:BASISCURVE.EUR_FI,1M"
"InterestRate.:BASISCURVE.EUR_FI,1W"
"InterestRate.:BASISCURVE.EUR_FI,20Y"
"InterestRate.:BASISCURVE.EUR_FI,25Y"
"InterestRate.:BASISCURVE.EUR_FI,2M"
"InterestRate.:BASISCURVE.EUR_FI,2Y"
"InterestRate.:BASISCURVE.EUR_FI,30Y"
"InterestRate.:BASISCURVE.EUR_FI,3M"
"InterestRate.:BASISCURVE.EUR_FI,3Y"
"InterestRate.:BASISCURVE.EUR_FI,40Y"
"InterestRate.:BASISCURVE.EUR_FI,50Y"
"InterestRate.:BASISCURVE.EUR_FI,5Y"
"InterestRate.:BASISCURVE.EUR_FI,6M"
"InterestRate.:BASISCURVE.EUR_FI,7Y"
"InterestRate.:BASISCURVE.EUR_FI,9M"
"InterestRate.:BASISCURVE.EUR_FR,10Y"
"InterestRate.:BASISCURVE.EUR_FR,12M"
"InterestRate.:BASISCURVE.EUR_FR,12Y"
"InterestRate.:BASISCURVE.EUR_FR,15Y"
"InterestRate.:BASISCURVE.EUR_FR,1M"
"InterestRate.:BASISCURVE.EUR_FR,1W"
"InterestRate.:BASISCURVE.EUR_FR,20Y"
"InterestRate.:BASISCURVE.EUR_FR,25Y"
"InterestRate.:BASISCURVE.EUR_FR,2M"
"InterestRate.:BASISCURVE.EUR_FR,2Y"
"InterestRate.:BASISCURVE.EUR_FR,30Y"
"InterestRate.:BASISCURVE.EUR_FR,3M"
"InterestRate.:BASISCURVE.EUR_FR,3Y"
"InterestRate.:BASISCURVE.EUR_FR,40Y"
"InterestRate.:BASISCURVE.EUR_FR,50Y"
"InterestRate.:BASISCURVE.EUR_FR,5Y"
"InterestRate.:BASISCURVE.EUR_FR,6M"
"InterestRate.:BASISCURVE.EUR_FR,7Y"
"InterestRate.:BASISCURVE.EUR_FR,9M"
"InterestRate.:BASISCURVE.EUR_IE,10Y"
"InterestRate.:BASISCURVE.EUR_IE,12M"
"InterestRate.:BASISCURVE.EUR_IE,12Y"
"InterestRate.:BASISCURVE.EUR_IE,15Y"
"InterestRate.:BASISCURVE.EUR_IE,1M"
"InterestRate.:BASISCURVE.EUR_IE,1W"
"InterestRate.:BASISCURVE.EUR_IE,20Y"
"InterestRate.:BASISCURVE.EUR_IE,25Y"
"InterestRate.:BASISCURVE.EUR_IE,2M"
"InterestRate.:BASISCURVE.EUR_IE,2Y"
"InterestRate.:BASISCURVE.EUR_IE,30Y"
"InterestRate.:BASISCURVE.EUR_IE,3M"
"InterestRate.:BASISCURVE.EUR_IE,3Y"
"InterestRate.:BASISCURVE.EUR_IE,40Y"
"InterestRate.:BASISCURVE.EUR_IE,50Y"
"InterestRate.:BASISCURVE.EUR_IE,5Y"
"InterestRate.:BASISCURVE.EUR_IE,6M"
"InterestRate.:BASISCURVE.EUR_IE,7Y"
"InterestRate.:BASISCURVE.EUR_IE,9M"
"InterestRate.:BASISCURVE.EUR_IT,10Y"
"InterestRate.:BASISCURVE.EUR_IT,12M"
"InterestRate.:BASISCURVE.EUR_IT,12Y"
"InterestRate.:BASISCURVE.EUR_IT,15Y"
"InterestRate.:BASISCURVE.EUR_IT,1M"
"InterestRate.:BASISCURVE.EUR_IT,1W"
"InterestRate.:BASISCURVE.EUR_IT,20Y"
"InterestRate.:BASISCURVE.EUR_IT,25Y"
"InterestRate.:BASISCURVE.EUR_IT,2M"
"InterestRate.:BASISCURVE.EUR_IT,2Y"
"InterestRate.:BASISCURVE.EUR_IT,30Y"
"InterestRate.:BASISCURVE.EUR_IT,3M"
"InterestRate.:BASISCURVE.EUR_IT,3Y"
"InterestRate.:BASISCURVE.EUR_IT,40Y"
"InterestRate.:BASISCURVE.EUR_IT,50Y"
"InterestRate.:BASISCURVE.EUR_IT,5Y"
"InterestRate.:BASISCURVE.EUR_IT,6M"
"InterestRate.:BASISCURVE.EUR_IT,7Y"
"InterestRate.:BASISCURVE.EUR_IT,9M"
"InterestRate.:BASISCURVE.EUR_NL,10Y"
"InterestRate.:BASISCURVE.EUR_NL,12M"
"InterestRate.:BASISCURVE.EUR_NL,12Y"
"InterestRate.:BASISCURVE.EUR_NL,15Y"
"InterestRate.:BASISCURVE.EUR_NL,1M"
"InterestRate.:BASISCURVE.EUR_NL,1W"
"InterestRate.:BASISCURVE.EUR_NL,20Y"
"InterestRate.:BASISCURVE.EUR_NL,25Y"
"InterestRate.:BASISCURVE.EUR_NL,2M"
"InterestRate.:BASISCURVE.EUR_NL,2Y"
"InterestRate.:BASISCURVE.EUR_NL,30Y"
"InterestRate.:BASISCURVE.EUR_NL,3M"
"InterestRate.:BASISCURVE.EUR_NL,3Y"
"InterestRate.:BASISCURVE.EUR_NL,40Y"
"InterestRate.:BASISCURVE.EUR_NL,50Y"
"InterestRate.:BASISCURVE.EUR_NL,5Y"
"InterestRate.:BASISCURVE.EUR_NL,6M"
"InterestRate.:BASISCURVE.EUR_NL,7Y"
"InterestRate.:BASISCURVE.EUR_NL,9M"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,10Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,12M"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,12Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,15Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,1M"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,1W"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,20Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,25Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,2M"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,2Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,30Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,3M"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,3Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,40Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,50Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,5Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,6M"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,7Y"
"InterestRate.:BASISCURVE.LBR_EUR_OIS-3M_E,9M"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,10Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,12M"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,12Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,15Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,1M"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,1W"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,20Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,25Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,2M"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,2Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,30Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,3M"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,3Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,40Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,50Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,5Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,6M"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,7Y"
"InterestRate.:BASISCURVE.LBR_GBP_OIS-3M_L,9M"
